country,2000_G,2001_G,2002_G,2003_G,2004_G,2005_G,2006_G,2007_G,2008_G,2009_G,2010_G,2011_G,2012_G,2013_G,2014_G,2015_G,2016_G,2017_G,2018_G,2019_G,2020_G,2000_GDP,2001_GDP,2002_GDP,2003_GDP,2004_GDP,2005_GDP,2006_GDP,2007_GDP,2008_GDP,2009_GDP,2010_GDP,2011_GDP,2012_GDP,2013_GDP,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2000_H,2001_H,2002_H,2003_H,2004_H,2005_H,2006_H,2007_H,2008_H,2009_H,2010_H,2011_H,2012_H,2013_H,2014_H,2015_H,2016_H,2017_H,2018_H
Afghanistan,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,-1.05,-10.4,22.1,8.04,2.5,8.61,1.59,10.8,0.117,17.3,5.17,3.85,11.2,1.13,0.837,2.11,2.68,2.76,3.02,3.38,0.345,0.347,0.378,0.387,0.4,0.41,0.419,0.431,0.436,0.447,0.464,0.465,0.479,0.485,0.488,0.49,0.491,0.493,0.496
Albania,30.2,30.7,31,31.1,31,30.7,30.4,30.2,30,29.7,29.5,29.3,29.1,29,29,29,29,29,29,29,29,6.79,6.69,2.86,5.45,5.36,4.96,5.27,5.41,6.84,2.91,2.98,2.49,2.28,1.72,2.61,3.82,4.72,5.03,5.03,5.23,0.667,0.673,0.68,0.687,0.692,0.702,0.709,0.718,0.724,0.729,0.74,0.759,0.771,0.781,0.787,0.788,0.788,0.789,0.791
Algeria,33.1,32.6,32.2,31.7,31.2,30.8,30.3,29.9,29.4,29,28.5,28.2,27.9,27.7,27.6,27.6,27.6,27.6,27.6,27.6,27.6,0.995,1.13,2.55,5.46,3.84,3.8,0.188,1.85,0.472,0.179,2.06,0.857,1.16,1.61,2.18,2.1,2.36,2.5,2.63,2.68,0.646,0.655,0.666,0.676,0.685,0.694,0.699,0.708,0.711,0.72,0.73,0.738,0.737,0.746,0.749,0.751,0.755,0.758,0.759
Andorra,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0.401,10,3.58,4.17,4.18,4.21,2.37,-1.7,-5.6,-6.31,-4.78,-4.3,,,,,,,,,0.759,0.767,0.78,0.82,0.826,0.819,0.829,0.829,0.831,0.83,0.828,0.827,0.849,0.846,0.853,0.85,0.854,0.852,0.857
Angola,51.8,51.3,50.6,49.7,48.5,47.3,46.2,45,44.1,43.4,42.9,42.7,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,-0.0561,-0.171,10.7,-0.247,7.45,16.6,15,19.6,10.6,-0.464,0.594,1.03,2.13,1.03,2.24,2.46,2.77,0.262,3.46,3.55,0.394,0.404,0.419,0.428,0.44,0.453,0.466,0.482,0.494,0.508,0.51,0.525,0.537,0.547,0.557,0.565,0.57,0.576,0.574
Antigua and Barbuda,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,-0.683,0.251,0.811,3.67,5.75,3.29,11.3,5.78,0.378,-11.7,-8.53,-2.96,2.79,0.468,1.62,1.9,2.2,2.2,2.2,2.2,..,..,..,..,..,0.773,0.779,0.784,0.783,0.776,0.772,0.764,0.767,0.767,0.767,0.77,0.772,0.774,0.776
Argentina,51.7,51.7,51.4,50.8,49.4,47.9,46.7,45.8,44.9,44,43,42.3,41.8,41.6,41.6,41.8,42.1,42.3,42.4,42.4,42.4,-1.85,-5.47,-12,7.77,7.92,8.12,7.25,7.44,5.57,-0.276,7.94,7.65,0.761,3.09,-0.622,-0.128,0.367,0.861,0.861,0.861,0.77,0.775,0.77,0.775,0.775,0.777,0.801,0.806,0.81,0.81,0.818,0.823,0.823,0.824,0.825,0.828,0.828,0.832,0.83
Armenia,36.2,35,35.3,35.3,34.2,33.5,32.7,30.8,29.6,29.6,29.2,29.5,30.2,30.7,31.3,31.9,32.3,32.5,32.6,32.6,32.6,6.08,10.1,15.6,14.4,10.9,14.3,13.1,13.6,6.69,-15,1.19,3.66,6.92,2.98,4.05,4.29,4.49,4.79,4.79,4.79,0.649,0.653,0.663,0.672,0.681,0.694,0.708,0.724,0.727,0.724,0.729,0.733,0.737,0.743,0.746,0.748,0.751,0.758,0.76
Australia,33.3,33.4,33.5,33.7,34,34.3,34.7,34.9,35,34.2,33.6,32.9,32.4,31.9,32.2,32.3,32.3,32.3,32.3,32.3,32.3,0.891,2.74,2.15,3.08,1.47,2.18,1.24,2.99,0.724,-0.16,1.44,1.06,1.78,1.17,1.41,1.48,1.73,1.7,1.71,1.77,0.898,0.9,0.903,0.904,0.907,0.902,0.905,0.908,0.922,0.923,0.926,0.928,0.932,0.926,0.929,0.933,0.935,0.937,0.938
Austria,28.6,29,29.3,29.3,29.4,29.6,29.8,30.2,30.5,30.7,30.7,30.8,30.6,30.6,30.6,30.6,30.5,30.5,30.5,30.5,30.5,3.12,0.587,0.687,0.998,2.18,1.95,3.13,3.29,1,-4.09,1.75,2.29,0.336,0.131,1.27,1.31,1.2,1.03,1.03,0.991,0.838,0.849,0.838,0.842,0.849,0.855,0.861,0.881,0.884,0.886,0.895,0.897,0.899,0.896,0.904,0.906,0.909,0.912,0.914
